case_id,gateway_transaction_id,fee_id,payment_method,gateway_amount,currency,processor_status,processed_at
FF-0043,GW-0043,FEE-0043,NET_BANKING,74500,INR,CAPTURED,2026-01-04T23:05:00
FF-0044,GW-0044,FEE-0044,UPI,14500,INR,CAPTURED,2026-01-05T01:05:00
FF-0045,GW-0045,FEE-0045,NET_BANKING,99500,INR,CAPTURED,2026-01-05T03:05:00
FF-0046,GW-0046,FEE-0046,NET_BANKING,45000,INR,CAPTURED,2026-01-05T05:05:00
FF-0047,GW-0047,FEE-0047,CARD,100000,INR,CAPTURED,2026-01-05T07:05:00
FF-0048,GW-0048,FEE-0048,UPI,125000,INR,CAPTURED,2026-01-05T09:05:00
FF-0049,GW-0049,FEE-0049,NET_BANKING,25000,INR,CAPTURED,2026-01-05T11:05:00
FF-0050,GW-0050,FEE-0050,UPI,75000,INR,CAPTURED,2026-01-05T13:05:00
FF-0051,GW-0051,FEE-0051,UPI,100000,INR,CAPTURED,2026-01-05T15:05:00
FF-0052,GW-0052,FEE-0052,UPI,100000,INR,CAPTURED,2026-01-05T17:05:00
FF-0053,GW-0053,FEE-0053,NET_BANKING,100000,INR,CAPTURED,2026-01-05T19:05:00
FF-0054,GW-0054,FEE-0054,CARD,100000,INR,CAPTURED,2026-01-05T21:05:00
FF-0055,GW-0055,FEE-0055,NET_BANKING,45000,INR,CAPTURED,2026-01-05T23:05:00
FF-0060,GW-0060,FEE-0060,UPI,25000,INR,CAPTURED,2026-01-06T09:05:00
FF-0061,GW-0061,FEE-0061,NET_BANKING,45000,INR,CAPTURED,2026-01-06T11:05:00
FF-0062,GW-0062,FEE-0062,CARD,75000,INR,CAPTURED,2026-01-06T13:05:00
FF-0063,GW-0063,FEE-0063,CARD,100000,INR,CAPTURED,2026-01-06T15:05:00
FF-0064,GW-0064,FEE-0064,NET_BANKING,15000,INR,CAPTURED,2026-01-06T17:05:00
FF-0065,GW-0065,FEE-0065,CARD,50000,INR,CAPTURED,2026-01-06T19:05:00
FF-0066,GW-0066,FEE-0066,CARD,50000,INR,UNKNOWN_STATUS,2026-01-06T21:05:00
FF-0067,GW-0067,FEE-0067,CARD,15000,INR,UNKNOWN_STATUS,2026-01-06T23:05:00
FF-0068,GW-0068,FEE-0068,UPI,100000,INR,CAPTURED,2026-01-07T01:05:00
FF-0069,GW-0069,FEE-0069,UPI,50000,INR,CAPTURED,2026-01-07T03:05:00
FF-0070,GW-0070,FEE-0070,CARD,30000,INR,CAPTURED,2026-01-07T05:05:00
