case_id,fee_id,student_id,merchant_id,currency,fee_amount,created_at,fee_status
FF-0030,FEE-0030,STU-0030,MER-001,INR,75000,2026-01-03T21:00:00,PAID
FF-0031,FEE-0031,STU-0031,MER-002,INR,125000,2026-01-03T23:00:00,PAID
FF-0032,FEE-0032,STU-0032,MER-003,INR,30000,2026-01-04T01:00:00,PAID
FF-0033,FEE-0033,STU-0033,MER-004,INR,45000,2026-01-04T03:00:00,PAID
FF-0034,FEE-0034,STU-0034,MER-005,INR,125000,2026-01-04T05:00:00,PAID
FF-0035,FEE-0035,STU-0035,MER-001,INR,15000,2026-01-04T07:00:00,PAID
FF-0036,FEE-0036,STU-0036,MER-002,INR,100000,2026-01-04T09:00:00,PAID
FF-0037,FEE-0037,STU-0037,MER-003,INR,45000,2026-01-04T11:00:00,PAID
FF-0038,FEE-0038,STU-0038,MER-004,INR,75000,2026-01-04T13:00:00,PAID
FF-0039,FEE-0039,STU-0039,MER-005,INR,30000,2026-01-04T15:00:00,PAID
FF-0040,FEE-0040,STU-0040,MER-001,INR,50000,2026-01-04T17:00:00,PAID
FF-0041,FEE-0041,STU-0041,MER-002,INR,125000,2026-01-04T19:00:00,PAID
FF-0042,FEE-0042,STU-0042,MER-003,INR,25000,2026-01-04T21:00:00,PAID
FF-0043,FEE-0043,STU-0043,MER-004,INR,75000,2026-01-04T23:00:00,PAID
FF-0044,FEE-0044,STU-0044,MER-005,INR,15000,2026-01-05T01:00:00,PAID
FF-0045,FEE-0045,STU-0045,MER-001,INR,100000,2026-01-05T03:00:00,PAID
FF-0046,FEE-0046,STU-0046,MER-002,INR,45000,2026-01-05T05:00:00,PAID
FF-0047,FEE-0047,STU-0047,MER-003,INR,100000,2026-01-05T07:00:00,PAID
FF-0048,FEE-0048,STU-0048,MER-004,INR,125000,2026-01-05T09:00:00,PAID
FF-0049,FEE-0049,STU-0049,MER-005,INR,25000,2026-01-05T11:00:00,PAID
FF-0050,FEE-0050,STU-0050,MER-001,INR,75000,2026-01-05T13:00:00,PAID
FF-0051,FEE-0051,STU-0051,MER-002,INR,100000,2026-01-05T15:00:00,PAID
FF-0052,FEE-0052,STU-0052,MER-003,INR,100000,2026-01-05T17:00:00,PAID
FF-0053,FEE-0053,STU-0053,MER-004,INR,100000,2026-01-05T19:00:00,PAID
FF-0054,FEE-0054,STU-0054,MER-005,INR,100000,2026-01-05T21:00:00,PAID
FF-0055,FEE-0055,STU-0055,MER-001,INR,45000,2026-01-05T23:00:00,PAID
FF-0056,FEE-0056,STU-0056,MER-002,INR,30000,2026-01-06T01:00:00,PAID
FF-0057,FEE-0057,STU-0057,MER-003,INR,50000,2026-01-06T03:00:00,PAID
FF-0058,FEE-0058,STU-0058,MER-004,INR,50000,2026-01-06T05:00:00,PAID
FF-0059,FEE-0059,STU-0059,MER-005,INR,15000,2026-01-06T07:00:00,PAID
FF-0060,FEE-0060,STU-0060,MER-001,INR,25000,2026-01-06T09:00:00,PAID
FF-0061,FEE-0061,STU-0061,MER-002,INR,45000,2026-01-06T11:00:00,PAID
FF-0062,FEE-0062,STU-0062,MER-003,INR,75000,2026-01-06T13:00:00,PAID
FF-0063,FEE-0063,STU-0063,MER-004,INR,100000,2026-01-06T15:00:00,PAID
FF-0064,FEE-0064,STU-0064,MER-005,INR,15000,2026-01-06T17:00:00,PAID
FF-0065,FEE-0065,STU-0065,MER-001,INR,50000,2026-01-06T19:00:00,PAID
FF-0066,FEE-0066,STU-0066,MER-002,INR,50000,2026-01-06T21:00:00,PAID
FF-0067,FEE-0067,STU-0067,MER-003,INR,15000,2026-01-06T23:00:00,PAID
FF-0068,FEE-0068,STU-0068,MER-004,INR,100000,2026-01-07T01:00:00,PAID
FF-0069,FEE-0069,STU-0069,MER-005,INR,50000,2026-01-07T03:00:00,PAID
FF-0070,FEE-0070,STU-0070,MER-001,INR,30000,2026-01-07T05:00:00,PAID
