case_id,bank_reference,settlement_id,bank_amount,currency,bank_status,bank_posted_at
FF-0027,BANK-0027,SET-0027,30000,INR,CREDITED,2026-01-03T21:00:00
FF-0028,BANK-0028,SET-0028,45000,INR,CREDITED,2026-01-03T23:00:00
FF-0029,BANK-0029,SET-0029,50000,INR,CREDITED,2026-01-04T01:00:00
FF-0030,BANK-0030,SET-0030,75000,INR,CREDITED,2026-01-04T03:00:00
FF-0031,BANK-0031,SET-0031,125000,INR,CREDITED,2026-01-04T05:00:00
FF-0032,BANK-0032,SET-0032,30000,INR,CREDITED,2026-01-04T07:00:00
FF-0033,BANK-0033,SET-0033,45000,INR,CREDITED,2026-01-04T09:00:00
FF-0034,BANK-0034,SET-0034,125000,INR,CREDITED,2026-01-04T11:00:00
FF-0035,BANK-0035,SET-0035,15000,INR,CREDITED,2026-01-04T13:00:00
FF-0036,BANK-0036,SET-0036,100000,INR,CREDITED,2026-01-04T15:00:00
FF-0037,BANK-0037,SET-0037,45000,INR,CREDITED,2026-01-04T17:00:00
FF-0038,BANK-0038,SET-0038,75000,INR,CREDITED,2026-01-04T19:00:00
FF-0039,BANK-0039,SET-0039,30000,INR,CREDITED,2026-01-04T21:00:00
FF-0040,BANK-0040,SET-0040,50000,INR,CREDITED,2026-01-04T23:00:00
FF-0041,BANK-0041,SET-0041,125000,INR,CREDITED,2026-01-05T01:00:00
FF-0042,BANK-0042,SET-0042,25000,INR,CREDITED,2026-01-05T03:00:00
FF-0043,BANK-0043,SET-0043,75000,INR,CREDITED,2026-01-05T05:00:00
FF-0044,BANK-0044,SET-0044,15000,INR,CREDITED,2026-01-05T07:00:00
FF-0045,BANK-0045,SET-0045,100000,INR,CREDITED,2026-01-05T09:00:00
FF-0046,BANK-0046,SET-0046,45000,INR,CREDITED,2026-01-05T11:00:00
FF-0047,BANK-0047,SET-0047,100000,INR,CREDITED,2026-01-05T13:00:00
FF-0048,BANK-0048,SET-0048,125000,INR,CREDITED,2026-01-05T15:00:00
FF-0049,BANK-0049,SET-0049,25000,INR,CREDITED,2026-01-05T17:00:00
FF-0050,BANK-0050,SET-0050,75000,INR,CREDITED,2026-01-05T19:00:00
FF-0051,BANK-0051,SET-0051,99000,INR,CREDITED,2026-01-05T21:00:00
FF-0052,BANK-0052,SET-0052,99000,INR,CREDITED,2026-01-05T23:00:00
FF-0053,BANK-0053,SET-0053,99000,INR,CREDITED,2026-01-06T01:00:00
FF-0054,BANK-0054,SET-0054,99000,INR,CREDITED,2026-01-06T03:00:00
FF-0055,BANK-0055,SET-0055,44000,INR,CREDITED,2026-01-06T05:00:00
FF-0056,BANK-0056,SET-0056,30000,INR,CREDITED,2026-01-06T07:00:00
FF-0057,BANK-0057,SET-0057,50000,INR,CREDITED,2026-01-06T09:00:00
FF-0058,BANK-0058,SET-0058,50000,INR,CREDITED,2026-01-06T11:00:00
FF-0059,BANK-0059,SET-0059,15000,INR,CREDITED,2026-01-06T13:00:00
FF-0060,BANK-0060,SET-0060,25000,INR,CREDITED,2026-01-06T15:00:00
FF-0061,BANK-0061,SET-0061,45000,INR,CREDITED,2026-01-06T17:00:00
FF-0062,BANK-0062,SET-0062,75000,INR,CREDITED,2026-01-06T19:00:00
FF-0066,BANK-0066,SET-0066,50000,INR,CREDITED,2026-01-07T03:00:00
FF-0067,BANK-0067,SET-0067,15000,INR,CREDITED,2026-01-07T05:00:00
FF-0068,BANK-DUPLICATE-001,SET-0068,100000,INR,CREDITED,2026-01-07T07:00:00
FF-0069,BANK-DUPLICATE-001,SET-0069,50000,INR,CREDITED,2026-01-07T09:00:00
FF-0070,BANK-DUPLICATE-001,SET-0070,30000,INR,CREDITED,2026-01-07T11:00:00
