case_id,status,exception_code,severity,action,reason
FF-0059,EXCEPTION,MISSING_GATEWAY_RECORD,HIGH,HUMAN_REVIEW,Expected gateway transaction record is missing.
FF-0060,EXCEPTION,MISSING_SETTLEMENT_RECORD,HIGH,HUMAN_REVIEW,Expected settlement record is missing.
FF-0061,EXCEPTION,MISSING_SETTLEMENT_RECORD,HIGH,HUMAN_REVIEW,Expected settlement record is missing.
FF-0062,EXCEPTION,MISSING_SETTLEMENT_RECORD,HIGH,HUMAN_REVIEW,Expected settlement record is missing.
FF-0063,EXCEPTION,MISSING_BANK_RECORD,CRITICAL,HUMAN_REVIEW,Expected bank posting record is missing.
FF-0064,EXCEPTION,MISSING_BANK_RECORD,CRITICAL,HUMAN_REVIEW,Expected bank posting record is missing.
FF-0065,EXCEPTION,MISSING_BANK_RECORD,CRITICAL,HUMAN_REVIEW,Expected bank posting record is missing.
FF-0066,EXCEPTION,INVALID_PROCESSOR_STATUS,MEDIUM,HUMAN_REVIEW,Processor status is outside the approved state set.
FF-0067,EXCEPTION,INVALID_PROCESSOR_STATUS,MEDIUM,HUMAN_REVIEW,Processor status is outside the approved state set.
FF-0068,EXCEPTION,DUPLICATE_BANK_REFERENCE,CRITICAL,BLOCK,Duplicate bank reference detected.
FF-0069,EXCEPTION,DUPLICATE_BANK_REFERENCE,CRITICAL,BLOCK,Duplicate bank reference detected.
FF-0070,EXCEPTION,DUPLICATE_BANK_REFERENCE,CRITICAL,BLOCK,Duplicate bank reference detected.
